tp,recall,precision,harmonic_mean
0.05,0.563087,0.571688,0.567355
0.1,0.592618,0.529583,0.55933
0.15,0.610067,0.492559,0.545052
0.2,0.589933,0.462795,0.518687
0.25,0.571141,0.430853,0.491176
0.3,0.558389,0.40363,0.468562
0.35,0.540269,0.377858,0.444699
0.4,0.502685,0.340109,0.405716
0.45,0.477181,0.308893,0.375023
0.5,0.469127,0.297278,0.363936
0.55,0.442953,0.28167,0.344363
0.6,0.41745,0.251906,0.314207
0.65,0.385906,0.23049,0.288605
0.7,0.373826,0.221052,0.277822
0.75,0.358389,0.205445,0.261173
0.8,0.325503,0.186207,0.236896
0.85,0.303356,0.169873,0.217789
0.9,0.244295,0.135027,0.173923
0.95,0.173154,0.0980035,0.125165
1,0.0691275,0.0359347,0.0472877
