tp,recall,precision,harmonic_mean
0.05,0.579866,0.538215,0.558265
0.1,0.579195,0.503204,0.538532
0.15,0.561074,0.46865,0.510714
0.2,0.52953,0.424028,0.470943
0.25,0.514094,0.404119,0.452521
0.3,0.465101,0.348055,0.398154
0.35,0.438255,0.309611,0.362869
0.4,0.397986,0.281236,0.329577
0.45,0.379866,0.261327,0.309639
0.5,0.363087,0.246453,0.293611
0.55,0.353691,0.226773,0.276357
0.6,0.348993,0.218764,0.268943
0.65,0.318121,0.188101,0.236414
0.7,0.298658,0.173226,0.219271
0.75,0.269127,0.142105,0.185999
0.8,0.237584,0.115789,0.155697
0.85,0.208054,0.0901602,0.125803
0.9,0.18792,0.0832952,0.115427
0.95,0.150336,0.0668192,0.0925175
1,0.0939598,0.0338673,0.0497886
