tr,recall,precision,harmonic_mean
0.05,0.730872,0.509982,0.600766
0.1,0.730872,0.509982,0.600766
0.15,0.725503,0.50853,0.597942
0.2,0.720134,0.507078,0.595112
0.25,0.720134,0.507078,0.595112
0.3,0.720134,0.507078,0.595112
0.35,0.701342,0.498367,0.582684
0.4,0.686577,0.488929,0.571137
0.45,0.675839,0.486025,0.565427
0.5,0.673154,0.48167,0.561537
0.55,0.666443,0.47804,0.556734
0.6,0.648993,0.464247,0.54129
0.65,0.625504,0.451543,0.524475
0.7,0.583222,0.421416,0.489289
0.75,0.535571,0.382577,0.446327
0.8,0.502685,0.340109,0.405716
0.85,0.458389,0.303085,0.3649
0.9,0.388591,0.259528,0.311209
0.95,0.279866,0.194918,0.229793
1,0.085906,0.0595281,0.0703249
